wave,trans
1.50076705404746,0.89215
1.5007691441863955,0.9037
1.5007713446945616,0.91409
1.5007734325931275,0.92269
1.50077552274983,0.92997
1.5007777232767012,0.93825
1.500779811193015,0.94712
1.5007820117324624,0.95347
1.5007841019130617,0.9576
1.5007861898471238,0.96224
1.5007883904052766,0.96705
1.5007904806036434,0.96975
1.5007926789220005,0.97148
1.500794769132313,0.97473
1.5007968593484475,0.97831
1.5007990576854915,0.98004
1.5008011479135719,0.98081
1.50080334851559,0.98205
1.5008054365032055,0.9834
1.5008076371178003,0.98474
1.5008097273697787,0.98625
1.500811815375143,0.98708
1.5008140160084449,0.9873
1.5008161062781913,0.98832
1.5008183046716208,0.98956
1.5008203949533137,0.98951
1.5008224852408292,0.98925
1.5008246836529464,0.99026
1.5008267739524082,0.99128
1.5008289723770898,0.99127
1.500831062688498,0.9915
1.5008331530057286,0.99245
1.5008353537016053,0.9931
1.5008374417782757,0.99341
1.5008396424867299,0.99393
1.50084173282786,0.99419
1.500843820922281,0.99407
1.5008460216494426,0.99448
1.5008481120083426,0.99527
1.500850310495537,0.99552
1.500852400866384,0.99559
1.5008545993661433,0.99591
1.500856689748937,0.99573
1.5008587801375537,0.9951
1.5008609786560025,0.99519
1.5008630690565663,0.99594
1.5008652698401768,0.99624
1.500867360252694,0.99628
1.5008694484184257,0.99659
1.5008716492207448,0.99658
1.5008737396510328,0.99609
1.5008759382133081,0.99604
1.5008780286555439,0.99657
1.5008801191036028,0.99693
1.500882317684568,0.99676
1.5008844081445745,0.9965
1.5008866067381057,0.99653
1.5008886972100597,0.99685
1.5008907876878375,0.99724
1.5008929863000589,0.99764
1.5008950767897844,0.99793
1.5008972776672644,0.99806
1.5008993659162457,0.99819
1.5009015668063046,0.99818
1.5009036573199328,0.99779
1.5009057478393844,0.99757
1.5009079464954354,0.99786
1.5009100370268353,0.99782
1.5009122356954527,0.99747
1.500914326238801,0.99806
1.5009164167879727,0.9989
1.5009186154752816,0.99841
1.500920706036402,0.99774
1.500922906989047,0.99857
1.5009249953093466,0.99941
1.5009270858882395,0.99877
1.5009292868595956,0.99793
1.5009313751976485,0.99834
1.5009335761815843,0.99935
1.5009356667843812,0.99959
1.5009377573930016,0.99853
1.5009399561428347,0.99723
1.5009420467634045,0.99728
1.5009442455258044,0.99827
1.5009463361583235,0.9984
1.5009485371861375,0.99745
1.5009506255777592,0.99654
1.5009527162280514,0.99603
1.500954917274577,0.99581
1.5009570056839532,0.99581
1.5009592067430593,0.99539
1.5009612974172568,0.99411
1.5009633858443872,0.99299
1.5009655869222058,0.99331
1.500967677614177,0.99429
1.5009698764516721,0.99454
1.5009719671555932,0.9945
1.5009740578653388,0.99508
1.5009762567215275,0.99545
1.5009783474432228,0.99498
1.5009805485649221,0.99487
1.500982637045625,0.99593
1.5009847277850945,0.99667
1.5009869289255071,0.99611
1.5009890174239653,0.99536
1.500991218576959,0.99543
1.5009933093403354,0.99544
1.5009955082529296,0.99511
1.5009975990282565,0.99493
